<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPUSD,20041103,00:00:00,1.8412,1.8315,1.8500,1.8484
GBPUSD,20041104,00:00:00,1.8484,1.8411,1.8495,1.8441
GBPUSD,20041105,00:00:00,1.8440,1.8313,1.8559,1.8557
GBPUSD,20041108,00:00:00,1.8564,1.8524,1.8615,1.8556
GBPUSD,20041109,00:00:00,1.8557,1.8509,1.8601,1.8563
GBPUSD,20041110,00:00:00,1.8563,1.8409,1.8611,1.8458
GBPUSD,20041111,00:00:00,1.8459,1.8377,1.8481,1.8422
GBPUSD,20041112,00:00:00,1.8425,1.8408,1.8587,1.8568
GBPUSD,20041115,00:00:00,1.8552,1.8439,1.8582,1.8476
GBPUSD,20041116,00:00:00,1.8481,1.8449,1.8561,1.8539
GBPUSD,20041117,00:00:00,1.8539,1.8515,1.8622,1.8593
GBPUSD,20041118,00:00:00,1.8593,1.8472,1.8634,1.8477
GBPUSD,20041119,00:00:00,1.8477,1.8470,1.8610,1.8572
GBPUSD,20041122,00:00:00,1.8578,1.8520,1.8603,1.8601
GBPUSD,20041123,00:00:00,1.8601,1.8524,1.8725,1.8682
GBPUSD,20041124,00:00:00,1.8682,1.8672,1.8824,1.8819
GBPUSD,20041125,00:00:00,1.8820,1.8797,1.8937,1.8927
GBPUSD,20041126,00:00:00,1.8928,1.8831,1.9034,1.8946
GBPUSD,20041129,00:00:00,1.8916,1.8850,1.8963,1.8932
GBPUSD,20041130,00:00:00,1.8934,1.8866,1.9128,1.9088
GBPUSD,20041201,00:00:00,1.9088,1.9087,1.9354,1.9336
GBPUSD,20041202,00:00:00,1.9337,1.9175,1.9435,1.9239
GBPUSD,20041203,00:00:00,1.9238,1.9191,1.9433,1.9432
GBPUSD,20041206,00:00:00,1.9425,1.9377,1.9440,1.9382
GBPUSD,20041207,00:00:00,1.9382,1.9359,1.9505,1.9452
GBPUSD,20041208,00:00:00,1.9451,1.9186,1.9453,1.9382
GBPUSD,20041209,00:00:00,1.9382,1.9140,1.9387,1.9252
GBPUSD,20041210,00:00:00,1.9252,1.9014,1.9257,1.9151
GBPUSD,20041213,00:00:00,1.9095,1.9094,1.9271,1.9243
GBPUSD,20041214,00:00:00,1.9243,1.9195,1.9290,1.9267
GBPUSD,20041215,00:00:00,1.9268,1.9186,1.9459,1.9418
GBPUSD,20041216,00:00:00,1.9417,1.9260,1.9547,1.9325
GBPUSD,20041217,00:00:00,1.9325,1.9284,1.9444,1.9406
GBPUSD,20041220,00:00:00,1.9438,1.9366,1.9504,1.9467
GBPUSD,20041221,00:00:00,1.9467,1.9250,1.9488,1.9278
GBPUSD,20041222,00:00:00,1.9279,1.9099,1.9298,1.9162
GBPUSD,20041223,00:00:00,1.9162,1.9131,1.9237,1.9228
GBPUSD,20041224,00:00:00,1.9229,1.9195,1.9288,1.9238
GBPUSD,20041227,00:00:00,1.9229,1.9197,1.9381,1.9333
GBPUSD,20041228,00:00:00,1.9334,1.9265,1.9415,1.9281
GBPUSD,20041229,00:00:00,1.9281,1.9119,1.9336,1.9180
GBPUSD,20041230,00:00:00,1.9181,1.9152,1.9287,1.9245
GBPUSD,20041231,00:00:00,1.9245,1.9140,1.9348,1.9182
GBPUSD,20050103,00:00:00,1.9188,1.8982,1.9201,1.9052
GBPUSD,20050104,00:00:00,1.9051,1.8780,1.9081,1.8817
GBPUSD,20050105,00:00:00,1.8818,1.8729,1.8896,1.8841
GBPUSD,20050106,00:00:00,1.8843,1.8695,1.8854,1.8766
GBPUSD,20050107,00:00:00,1.8764,1.8645,1.8861,1.8685
GBPUSD,20050110,00:00:00,1.8701,1.8697,1.8792,1.8770
GBPUSD,20050111,00:00:00,1.8772,1.8750,1.8819,1.8787
GBPUSD,20050112,00:00:00,1.8786,1.8695,1.8936,1.8899
GBPUSD,20050113,00:00:00,1.8900,1.8793,1.8926,1.8810
GBPUSD,20050114,00:00:00,1.8810,1.8638,1.8815,1.8694
GBPUSD,20050117,00:00:00,1.8702,1.8576,1.8747,1.8580
GBPUSD,20050118,00:00:00,1.8577,1.8525,1.8735,1.8650
GBPUSD,20050119,00:00:00,1.8650,1.8625,1.8823,1.8701
GBPUSD,20050120,00:00:00,1.8700,1.8637,1.8749,1.8721
GBPUSD,20050121,00:00:00,1.8722,1.8612,1.8804,1.8787
GBPUSD,20050124,00:00:00,1.8783,1.8738,1.8834,1.8780
GBPUSD,20050125,00:00:00,1.8780,1.8625,1.8806,1.8641
GBPUSD,20050126,00:00:00,1.8640,1.8634,1.8852,1.8817
GBPUSD,20050127,00:00:00,1.8817,1.8794,1.8925,1.8893
GBPUSD,20050128,00:00:00,1.8891,1.8785,1.8914,1.8879
GBPUSD,20050131,00:00:00,1.8850,1.8787,1.8880,1.8838
GBPUSD,20050201,00:00:00,1.8837,1.8776,1.8862,1.8829
GBPUSD,20050202,00:00:00,1.8830,1.8822,1.8885,1.8862
GBPUSD,20050203,00:00:00,1.8862,1.8768,1.8911,1.8816
GBPUSD,20050204,00:00:00,1.8815,1.8733,1.8915,1.8756
GBPUSD,20050207,00:00:00,1.8717,1.8546,1.8749,1.8560
GBPUSD,20050208,00:00:00,1.8555,1.8511,1.8593,1.8536
GBPUSD,20050209,00:00:00,1.8535,1.8522,1.8640,1.8586
GBPUSD,20050210,00:00:00,1.8586,1.8508,1.8727,1.8680
GBPUSD,20050211,00:00:00,1.8684,1.8625,1.8706,1.8677
GBPUSD,20050214,00:00:00,1.8694,1.8678,1.8914,1.8870
GBPUSD,20050215,00:00:00,1.8868,1.8831,1.8973,1.8954
GBPUSD,20050216,00:00:00,1.8952,1.8753,1.8957,1.8840
GBPUSD,20050217,00:00:00,1.8840,1.8834,1.8957,1.8947
GBPUSD,20050218,00:00:00,1.8948,1.8891,1.8970,1.8939
GBPUSD,20050221,00:00:00,1.8930,1.8907,1.8996,1.8959
