Date,Strategy1,Strategy2,Index
2005-11-09,-0.006065942,0.000836372,-0.002996434
2005-11-10,0.009364413,0.004923521,0.007670324
2005-11-11,-0.013107511,0.011956151,0.000896598
2005-11-14,-0.014332576,-0.005002693,-0.005557587
2005-11-15,0.006842718,-0.00860978,-0.001764836
2005-11-16,0.00667576,0.006500727,0.005524862
2005-11-17,0.01517896,0.012075543,0.007124542
2005-11-18,-0.005610681,-0.003409103,-0.000181855
2005-11-21,-0.004334062,0.009673328,0.003510431
2005-11-22,0.001327075,0.002748713,0.002628145
2005-11-23,-0.001411635,-0.005475891,-0.003742068
2005-11-24,0.006576407,0.008063557,0.002322627
2005-11-25,-0.005736506,-0.01178402,-0.008400014
2005-11-28,0.008044521,0.01263061,0.00248293
2005-11-29,-0.012011596,-0.012354367,-0.012347478
2005-11-30,0.011575746,0.018062876,0.011598318
2005-12-01,-0.002092667,0.014255981,0.007655712
2005-12-02,0.00226057,-0.004744643,-0.003201823
2005-12-05,0.013069676,0.002323238,0.005153891
2005-12-06,0.004529938,0.001702904,-0.001805445
2005-12-07,0.010969806,0.000991415,0.000416003
2005-12-08,-0.005022746,0.002523055,-0.002476903
2005-12-09,-0.012503846,-0.000858376,-0.002881792
2005-12-12,-0.004544446,-0.001066383,0.001036081
2005-12-13,0.007938144,0.002530816,0.002523969
2005-12-14,0.005562978,-0.000681878,-0.004672982
2005-12-15,0.024687394,0.002549386,0.006605645
2005-12-16,0.001099868,-0.003580442,0.001482392
2005-12-19,0.004330165,0.006875464,0.001462147
2005-12-20,0.020041543,0.005605072,0.007119811
2005-12-21,-0.002801169,0.005530901,0.001718152
2005-12-22,0.009905998,0.003061065,-0.000285867
2005-12-23,0.015123264,0.007383263,0.00489688
2005-12-28,0.003475092,-0.005591833,0.002756634
2005-12-29,-0.008322304,-0.00319628,-0.003458489
2005-12-30,0.012008474,0.012029397,0.011158966
2006-01-03,0.010913908,0.007350094,0.005825926
2006-01-04,-0.000649627,-0.006074477,-0.004094775
2006-01-05,0.005455101,0.006352521,0.007133821
2006-01-06,0.005630325,-0.004705439,-5.23396E-05
2006-01-09,-0.008611005,-0.008573074,-0.007450057
2006-01-10,0.010690978,0.012065299,0.007505977
2006-01-11,-0.002341992,0.005243467,0.000628108
2006-01-12,-0.011228287,-0.005888782,-0.004202194
2006-01-13,0.001023652,0.006169465,0.00511294
2006-01-16,-0.007924109,-0.007714253,-0.00717745
2006-01-17,0.001386462,-0.008422218,-0.006194069
2006-01-18,-0.003318114,0.007565312,0.005208609
2006-01-19,0.004689316,-0.002561985,-0.003653481
2006-01-20,-0.006174844,-0.007916741,-0.002027361
2006-01-23,-0.010865315,-0.007766573,-0.004787225
2006-01-24,0.011647226,0.016282383,0.012531506
2006-01-25,0.001495447,-0.004528537,0.00319052
2006-01-26,0.017806539,0.007580574,0.011218677
2006-01-27,0.006903993,0.004763927,-0.00120965
2006-01-30,0.000573999,0.001994671,-0.003373819
2006-01-31,0.000911455,0.008413702,0.007169765
2006-02-01,-0.010161714,-0.014615691,-0.009359487
2006-02-02,-0.001976992,0.00224364,0.002087937
2006-02-03,0.008480996,0.004621802,0.002274582
2006-02-06,0.00220287,-0.009766114,-0.004434897
2006-02-07,0.003992932,0.002910452,-0.003776014
2006-02-08,0.020846156,0.025371609,0.014602365
2006-02-09,-0.00889945,-0.005673247,-0.007678138
2006-02-10,-0.000286252,0.005782997,0.005100536
2006-02-13,0.003697903,0.001245962,-0.000207129
2006-02-14,-0.005979366,0.003837302,-0.000138114
2006-02-15,0.006578551,0.010067539,0.00645774
2006-02-16,0.008867925,0.008126671,0.00296797
2006-02-17,0.000905353,0.009487121,0.002873662
2006-02-20,-0.015676423,0.004783919,-0.000903974
2006-02-21,0.019620732,0.004941748,0.002509517
2006-02-22,-0.011382157,-0.004215946,-0.006198488
2006-02-23,0.007972806,-0.001642314,0.004198081
2006-02-24,0.018634918,0.006793829,0.002627762
2006-02-27,-0.024290679,-0.017657092,-0.014363757
2006-02-28,0.008672759,0.004338717,0.009082276
2006-03-01,-0.008345203,0.007963957,-0.001899351
2006-03-02,0.01006872,0.001749286,0.004405966
2006-03-03,0.015212167,0.005138609,0.006673835
2006-03-06,-0.005925355,-0.009245393,-0.006850012
2006-03-07,-0.007005027,-0.00203917,-0.007597227
2006-03-08,0.003669187,0.008098081,0.00739734
2006-03-09,0.01518437,0.01329236,0.008879933
2006-03-10,0.004834921,0.010708993,0.007599993
2006-03-13,0.003724835,0.001499908,-0.000369574
2006-03-14,-0.007515262,-0.004667939,0.002436729
2006-03-15,0.004132902,0.007194748,0.004710734
2006-03-16,-0.002985406,-0.004796305,0.001034506
2006-03-17,-0.006502854,-0.001484707,-0.001283462
2006-03-20,-0.003136057,0.001525068,-6.6759E-05
2006-03-21,-0.007351655,0.004052627,0.002703921
2006-03-22,0.009121905,-0.004222926,-0.00289638
2006-03-23,0.000499734,0.00799843,0.007712726
2006-03-24,-0.012894106,-0.008410299,-0.010619088
2006-03-27,-0.00223381,0.001960242,-0.006111651
2006-03-28,-0.001244717,0.004968591,0.003959095
2006-03-29,0.005248716,0.012468462,0.009397235
2006-03-30,-0.004167827,-0.010873708,-0.008412023
2006-03-31,0.009205541,0.01111694,0.010009053
2006-04-03,0.004731958,-0.000518874,-0.00325349
2006-04-04,-0.002281985,0.00758233,0.006561527
2006-04-05,0.009529503,0.000481575,0.000264721
2006-04-06,-0.001596499,-0.007371968,-0.003241974
2006-04-07,0.001388424,0.005132938,0.006787143
2006-04-10,-0.011481626,-0.012262552,-0.008323718
2006-04-11,0.002789891,-0.000616092,-0.002609491
2006-04-12,0.00060951,0.004216177,0.004766031
2006-04-13,0.002007125,-0.001033115,0.002438054
2006-04-18,0.014086797,0.006926072,0.007561093
2006-04-19,-0.000225454,-0.003135586,-0.001379356
2006-04-20,0.001960682,0.010274817,0.008435558
2006-04-21,-0.002968213,-0.008600417,-0.005544051
2006-04-24,-0.001869062,-0.003933655,-0.001984029
2006-04-25,0.003975618,-0.000351325,0.002908027
2006-04-26,-0.012440767,-0.005996133,-0.007257179
2006-04-27,-0.002327144,-0.007316345,-0.006089109
2006-04-28,0.013850594,0.005315184,0.00979562
2006-05-02,0.004401729,-0.005158001,-0.011854458
2006-05-03,-0.003824669,0.003281252,0.004475874
2006-05-04,0.015154513,0.008836725,0.009077507
2006-05-05,-0.005149195,0.001576181,-0.004038282
2006-05-08,0.009993926,0.006081893,0.006345701
2006-05-09,-0.015760782,-0.008433797,-0.003636006
2006-05-10,0.010004739,-0.002936904,-0.006805405
2006-05-11,-0.028855919,-0.017842297,-0.021499503
2006-05-12,-0.009466024,-0.009667098,-0.01197544
2006-05-15,-0.003983881,0.002845639,0.000838854
2006-05-16,-0.040460134,-0.025362873,-0.029198454
2006-05-17,0.008016995,-0.001307879,-0.000687164
2006-05-18,-0.011007744,0.000474813,-0.002503703
2006-05-19,-0.030185875,-0.020180256,-0.022041927
2006-05-22,0.026803134,0.033448317,0.026388563
2006-05-23,-0.011051009,-0.01888664,-0.016130452
2006-05-24,0.015616283,0.01019519,0.016215926
2006-05-25,0.016874001,0.027801543,0.019955264
2006-05-26,-0.011824039,-0.028374232,-0.024002763
2006-05-30,0.02817761,0.013462704,0.012703468
2006-05-31,0.010191039,-0.000522851,0.004524966
2006-06-01,0.000622632,0.00175823,0.00259144
2006-06-02,-0.002677736,-0.003996987,-0.000433681
2006-06-05,-0.020679075,-0.018947375,-0.016018465
2006-06-06,0.006291687,0.006104441,0.006437617
2006-06-07,-0.019222231,-0.027798635,-0.025130119
2006-06-08,0.020585416,0.018496714,0.016592065
2006-06-09,-0.007737821,-0.007058082,-0.006065214
2006-06-12,-0.006182799,-0.019417014,-0.018022025
2006-06-13,0.000564575,-0.002984341,-0.002319009
2006-06-14,0.016916965,0.013431111,0.020429287
2006-06-15,-0.003675971,-0.007471317,-0.003897283
2006-06-16,0.011082382,0.003416392,0.005127381
2006-06-19,0.011334871,0.01004082,0.005705551
2006-06-20,0.004536279,0.006756421,0.001201796
2006-06-21,-0.000973662,0.005476686,0.00337158
2006-06-22,-0.002294177,0.007718536,0.001407435
2006-06-23,0.00656641,-0.003830171,-0.001914935
2006-06-26,-0.004491826,-0.006415617,-0.005086953
2006-06-27,0.013667936,0.009594639,0.004652973
2006-06-28,0.022910003,0.01852265,0.019881661
2006-06-29,0.001160436,0.011379142,0.007234741
2006-06-30,0.018268506,0.008669461,0.008742757
2006-07-03,-0.008700947,0.004517512,-0.000152947
2006-07-04,-0.012141397,-0.013490793,-0.009654117
2006-07-05,0.003617324,0.022582661,0.010863782
2006-07-06,0.013873921,-0.006418467,-0.000186757
2006-07-07,-0.005287111,-0.002587415,0.001358488
2006-07-10,-0.011014884,-0.002293441,-0.006715393
2006-07-11,-0.000522304,0.005064105,0.0005634
2006-07-12,-0.014013602,-0.010487167,-0.016312323
2006-07-13,-0.010938216,-0.01413231,-0.009956635
2006-07-14,-8.61048E-05,0.000721413,-0.001156353
2006-07-17,0.001291915,-0.007730774,-0.003385371
2006-07-18,0.013880091,0.015856986,0.016949153
2006-07-19,0.002889865,-0.006013281,-0.001228799
2006-07-20,-0.016030225,-0.009015609,-0.0088721
2006-07-21,0.01185447,0.024853431,0.019966082
2006-07-24,-0.003487856,-0.002937945,0.002965426
2006-07-25,0.00358919,0.000745921,0.004426442
2006-07-26,0.000769649,0.005091732,0.008915962
2006-07-27,0.003125878,0.015208187,0.007656632
2006-07-28,-0.024572213,-0.015803178,-0.007799294
2006-07-31,-0.016699629,-0.014520562,-0.008012415
2006-08-01,0.018498464,0.007657947,0.008723303
2006-08-02,-0.006963446,-0.025093389,-0.015795418
2006-08-03,0.002517156,0.005572353,0.00873527
2006-08-04,-0.001730257,-0.001385395,-0.010289673
2006-08-07,0.006121062,-0.000698697,-0.001835712
2006-08-08,0.016159913,0.004150432,0.007287602
2006-08-09,-0.014217991,-0.002268018,-0.006330518
2006-08-10,-0.010323239,0.001104028,-0.000566679
2006-08-11,0.012590174,0.006583366,0.008728372
2006-08-14,0.012197873,0.002156263,0.004598954
2006-08-15,-0.002177055,-0.007916809,-0.000220417
2006-08-16,0.000165106,-0.005430656,0.000644439
2006-08-17,0.006507757,-0.000537216,0.00050844
2006-08-18,-0.002606466,-0.001759332,0.001998848
2006-08-21,-0.010377211,-0.007433915,-0.002130105
2006-08-22,-0.012223324,-0.0053634,-0.007217159
2006-08-23,0.007189444,0.002916091,0.001552901
2006-08-24,-0.006827254,0.014567836,0.001618647
2006-08-25,0.012388992,0.001141071,0.001650053
2006-08-29,0.005537003,0.005553447,0.00696296
2006-08-30,-0.00396003,-0.001654083,-0.003912772
2006-08-31,0.004425442,0.010117671,0.007280608
2006-09-01,-0.00066962,0.012563375,0.006303474
2006-09-04,-0.018017024,-0.000552008,-0.000818495
2006-09-05,-0.004576217,-0.011706642,-0.008760051
2006-09-06,-0.017671221,-0.020400254,-0.012008163
2006-09-07,0.010736573,-0.000895084,0.003618921
2006-09-08,-0.023455309,-0.006499681,-0.004847516
2006-09-11,0.012352537,-0.003860181,0.007639981
2006-09-12,0.004105154,0.004520532,-0.000559749
2006-09-13,-0.013991782,-0.003664908,-0.002545738
2006-09-14,-0.003637729,-0.003216939,-3.40298E-05
2006-09-15,0.003906384,0.004463857,0.002246044
2006-09-18,0.00190487,-0.012414799,-0.009914774
2006-09-19,0.010088447,0.00035941,0.005898693
2006-09-20,0.025318346,0.004744867,0.005199277
2006-09-21,-0.002775736,-0.009574192,-0.012617227
2006-09-22,0.001640199,-0.000200161,-0.004122082
2006-09-25,0.007440234,0.010739345,0.012986565
2006-09-26,0.004770325,0.010480673,0.009619314
2006-09-27,0.005633758,8.24003E-05,0.006947606
2006-09-28,-0.001637699,-0.00312812,-0.001758411
2006-09-29,0.010412696,-0.002340685,-0.000503288
2006-10-02,-0.004838044,-0.001571963,-0.003474437
2006-10-03,-0.003754279,0.002702501,0.004951913
2006-10-04,0.006347174,0.004440598,0.006368893
2006-10-05,0.005005786,0.00075979,-0.000549588
2006-10-06,0.002904443,0.000921698,0.00494901
2006-10-09,0.002865592,0.006319075,0.006930972
2006-10-10,0.007091271,0.003483939,0.000131737
2006-10-11,0.005222354,0.008909747,0.007870256
2006-10-12,0.011458628,0.006064265,0.005881104
2006-10-13,-0.004068601,0.004398583,0.002452374
2006-10-16,-0.006672508,-0.010253005,-0.010336336
2006-10-17,-0.003242776,0.007894058,0.006842812
2006-10-18,0.003437526,0.007037692,0.00091051
2006-10-19,0.006743013,0.005393461,-0.000129955
2006-10-20,0.006334243,0.000162489,0.00177086
2006-10-23,-0.005486431,0.002572751,0.002659704
2006-10-24,0.001222665,-0.000471298,0.005192074
2006-10-25,0.009351644,-0.000905055,-0.00479516
2006-10-26,-0.004237818,0.001438554,-0.003864313
2006-10-27,-0.002743414,-0.007602244,-0.005534906
2006-10-30,-0.001896512,-0.001005496,0.000391722
2006-10-31,0.002136449,-0.00342579,0.00332833
2006-11-01,-0.00042725,0.003462428,-4.87837E-05
2006-11-02,0.003908563,0.000142983,-0.000195144
2006-11-03,0.010271751,0.019242154,0.012426603
2006-11-06,0.001729086,0.001248188,0.003132782
2006-11-07,0.001950299,-0.000214094,-0.000800769
2006-11-08,-0.001857738,-0.002353258,-0.001202116
2006-11-09,-0.005868537,-0.004092764,-0.003706973
2006-11-10,0.002033909,0.000775344,-0.002287224
2006-11-13,0.001722031,-0.002969515,-0.001226954
2006-11-14,-0.007840774,0.006199476,0.006982834
2006-11-15,0.007257882,4.93073E-05,0.004029022
2006-11-16,-0.005303828,-0.002204232,-0.010056116
2006-11-17,0.005889616,0.005511857,0.002018734
2006-11-20,0.012040416,-0.003080904,-0.000306229
2006-11-21,-0.001748913,-0.008658205,-0.006819721
2006-11-22,-0.008609345,-0.000792048,-0.003295294
2006-11-23,-0.008694947,0.001703367,-0.002915309
2006-11-24,-0.005291804,-0.01257566,-0.01176067
2006-11-27,-0.001294475,-0.00971766,-0.003999934
2006-11-28,0.021059696,0.00894202,0.009708093
2006-11-29,-0.004727325,-0.007603702,-0.005851029
2006-11-30,0.001098137,0.00302305,-0.004513292
